"SiteName","Species","common_name","Method","abundance"
"Ross Islet Slug Island","Sebastes flavidus","Yellowtail rockfish","1",40
"Ross Islet Slug Island","Sebastes melanops","Black rockfish","1",59
"Ross Islet Slug Island","Sebastes spp.","Unidentified rockfish","1",5
"Ross Islet Slug Island","Stylasterias forreri","Velcro seastar","2",3
"Second Beach","Acmaea mitra","Whitecap limpet","2",2
"Second Beach","Apostichopus californicus","California sea cucumber","2",10
"Second Beach","Artedius harringtoni","Scalyhead sculpin","2",73
"Second Beach","Artedius lateralis","Smoothhead sculpin","2",1
"Second Beach","Aulorhynchus flavidus","Tube-snout","1",92
"Second Beach","Brachyistius frenatus","Kelp perch","1",2
"Second Beach","Cancer productus","Red rock crab","2",2
"Second Beach","Ceratostoma foliatum","Leafy hornmouth","2",15
"Second Beach","Crassadoma gigantea","Purple-hinged rock scallop","2",8
"Second Beach","Cymatogaster aggregata","Shiner perch","1",64
"Second Beach","Dermasterias imbricata","Leather star","2",54
"Second Beach","Diodora aspera","Rough keyhole limpet","2",2
"Second Beach","Embiotoca lateralis","Striped seaperch","1",29
"Second Beach","Evasterias troschelii","Mottled starfish","2",13
"Second Beach","Haliotis kamtschatkana","Pinto abalone","2",51
"Second Beach","Hemilepidotus hemilepidotus","Red Irish lord","2",3
"Second Beach","Henricia pumila","Dwarf mottled henricia","2",5
"Second Beach","Henricia spp.","Unidentified blood star","2",2
"Second Beach","Heptacarpus stylus","Stiletto shrimp","2",1
"Second Beach","Hermissenda crassicornis","Opalescent nudibranch","2",1
"Second Beach","Hexagrammos decagrammus","Kelp greenling","1",29
"Second Beach","Hexagrammos stelleri","Whitespotted greenling","1",1
"Second Beach","Hexagrammos stelleri","Whitespotted greenling","2",1
"Second Beach","Jordania zonope","Longfin sculpin","2",11
"Second Beach","Lophopanopeus bellus","Black-clawed crab","2",19
"Second Beach","Mesocentrotus franciscanus","Red sea urchin","2",539
"Second Beach","Oregonia gracilis","Graceful decorator crab","2",6
"Second Beach","Orthasterias koehleri","Rainbow star","2",24
"Second Beach","Oxylebius pictus","Painted greenling","1",1
"Second Beach","Oxylebius pictus","Painted greenling","2",2
"Second Beach","Paguroidea spp.","Unidentified hermit crab","2",6
"Second Beach","Pisaster ochraceus","Purple sea star","2",123
"Second Beach","Pomaulax gibberosus","Red turban snail","2",61
"Second Beach","Rhacochilus vacca","Pile perch","1",61
"Second Beach","Scyra acutifrons","Sharpnose crab","2",1
"Second Beach","Sebastes melanops","Black rockfish","1",17
"Second Beach","Sebastes spp.","Unidentified rockfish","1",55
"Second Beach","Strongylocentrotus droebachiensis","Northern sea urchin","2",4
"Second Beach","Strongylocentrotus purpuratus","Purple sea urchin","2",48
"Swiss Boy","Acmaea mitra","Whitecap limpet","2",25
"Swiss Boy","Apostichopus californicus","California sea cucumber","2",20
"Swiss Boy","Artedius harringtoni","Scalyhead sculpin","2",10
"Swiss Boy","Artedius lateralis","Smoothhead sculpin","2",1
"Swiss Boy","Aulorhynchus flavidus","Tube-snout","1",3
"Swiss Boy","Ceratostoma foliatum","Leafy hornmouth","2",1
"Swiss Boy","Crassadoma gigantea","Purple-hinged rock scallop","2",4
"Swiss Boy","Dermasterias imbricata","Leather star","2",29
"Swiss Boy","Embiotoca lateralis","Striped seaperch","1",21
"Swiss Boy","Evasterias troschelii","Mottled starfish","2",1
"Swiss Boy","Haliotis kamtschatkana","Pinto abalone","2",58
"Swiss Boy","Henricia pumila","Dwarf mottled henricia","2",2
"Swiss Boy","Henricia spp.","Unidentified blood star","2",1
"Swiss Boy","Hexagrammos decagrammus","Kelp greenling","1",12
"Swiss Boy","Jordania zonope","Longfin sculpin","2",4
"Swiss Boy","Mesocentrotus franciscanus","Red sea urchin","2",229
"Swiss Boy","Orthasterias koehleri","Rainbow star","2",7
"Swiss Boy","Patiria miniata","Bat star","2",51
"Swiss Boy","Pisaster ochraceus","Purple sea star","2",40
"Swiss Boy","Pomaulax gibberosus","Red turban snail","2",122
"Swiss Boy","Pugettia producta","Northern kelp crab","2",1
"Swiss Boy","Rhacochilus vacca","Pile perch","1",1
"Swiss Boy","Rhinogobiops nicholsii","Blackeye goby","2",2
"Swiss Boy","Sebastes melanops","Black rockfish","1",1
"Swiss Boy","Strongylocentrotus purpuratus","Purple sea urchin","2",36
"Swiss Boy","Stylasterias forreri","Velcro seastar","2",4
"Swiss Boy","Tonicella spp.","Unidentified chiton","2",3
"Taylor Rock","Acmaea mitra","Whitecap limpet","2",6
"Taylor Rock","Apodichthys flavidus","Penpoint gunnel","2",1
"Taylor Rock","Apostichopus californicus","California sea cucumber","2",21
"Taylor Rock","Artedius harringtoni","Scalyhead sculpin","2",26
"Taylor Rock","Artedius lateralis","Smoothhead sculpin","2",2
"Taylor Rock","Aulorhynchus flavidus","Tube-snout","1",105
"Taylor Rock","Brachyistius frenatus","Kelp perch","1",6
"Taylor Rock","Cancer productus","Red rock crab","2",1
"Taylor Rock","Ceratostoma foliatum","Leafy hornmouth","2",15
"Taylor Rock","Crassadoma gigantea","Purple-hinged rock scallop","2",4
"Taylor Rock","Cryptochiton stelleri","Gumboot chiton","2",1
"Taylor Rock","Cymatogaster aggregata","Shiner perch","1",176
"Taylor Rock","Dermasterias imbricata","Leather star","2",33
"Taylor Rock","Embiotoca lateralis","Striped seaperch","1",20
"Taylor Rock","Evasterias troschelii","Mottled starfish","2",8
"Taylor Rock","Haliotis kamtschatkana","Pinto abalone","2",19
"Taylor Rock","Hemilepidotus hemilepidotus","Red Irish lord","2",1
"Taylor Rock","Henricia pumila","Dwarf mottled henricia","2",4
"Taylor Rock","Henricia spp.","Unidentified blood star","2",2
"Taylor Rock","Hermissenda crassicornis","Opalescent nudibranch","2",8
"Taylor Rock","Hexagrammos decagrammus","Kelp greenling","1",14
"Taylor Rock","Jordania zonope","Longfin sculpin","2",5
"Taylor Rock","Lophopanopeus bellus","Black-clawed crab","2",14
"Taylor Rock","Mesocentrotus franciscanus","Red sea urchin","2",325
"Taylor Rock","Oregonia gracilis","Graceful decorator crab","2",2
"Taylor Rock","Orthasterias koehleri","Rainbow star","2",15
"Taylor Rock","Paguroidea spp.","Unidentified hermit crab","2",12
"Taylor Rock","Patiria miniata","Bat star","2",30
"Taylor Rock","Pisaster ochraceus","Purple sea star","2",15
"Taylor Rock","Pomaulax gibberosus","Red turban snail","2",37
"Taylor Rock","Pugettia producta","Northern kelp crab","2",1
"Taylor Rock","Pycnopodia helianthoides","Sunflower star","2",3
"Taylor Rock","Rhacochilus vacca","Pile perch","1",22
"Taylor Rock","Rhinogobiops nicholsii","Blackeye goby","2",17
"Taylor Rock","Sebastes caurinus","Copper rockfish","1",16
"Taylor Rock","Sebastes flavidus","Yellowtail rockfish","1",8
"Taylor Rock","Sebastes melanops","Black rockfish","1",84
"Taylor Rock","Sebastes spp.","Unidentified rockfish","1",5
"Taylor Rock","Strongylocentrotus purpuratus","Purple sea urchin","2",15
"Taylor Rock","Tonicella spp.","Unidentified chiton","2",9
"Turf Island 2","Acmaea mitra","Whitecap limpet","2",2
"Turf Island 2","Apostichopus californicus","California sea cucumber","2",19
"Turf Island 2","Artedius harringtoni","Scalyhead sculpin","2",4
"Turf Island 2","Brachyistius frenatus","Kelp perch","1",2
"Turf Island 2","Cancer productus","Red rock crab","2",11
"Turf Island 2","Crassadoma gigantea","Purple-hinged rock scallop","2",3
"Turf Island 2","Cymatogaster aggregata","Shiner perch","1",111
"Turf Island 2","Dermasterias imbricata","Leather star","2",23
"Turf Island 2","Diaulula odonoghuei","Leopard dorid","2",1
"Turf Island 2","Diodora aspera","Rough keyhole limpet","2",1
"Turf Island 2","Embiotoca lateralis","Striped seaperch","1",2
"Turf Island 2","Evasterias troschelii","Mottled starfish","2",3
"Turf Island 2","Haliotis kamtschatkana","Pinto abalone","2",4
"Turf Island 2","Henricia pumila","Dwarf mottled henricia","2",2
"Turf Island 2","Hexagrammos decagrammus","Kelp greenling","1",30
"Turf Island 2","Hexagrammos decagrammus","Kelp greenling","2",4
"Turf Island 2","Hexagrammos stelleri","Whitespotted greenling","1",1
"Turf Island 2","Lophopanopeus bellus","Black-clawed crab","2",3
"Turf Island 2","Mesocentrotus franciscanus","Red sea urchin","2",462
"Turf Island 2","Oregonia gracilis","Graceful decorator crab","2",11
"Turf Island 2","Orthasterias koehleri","Rainbow star","2",3
"Turf Island 2","Paguroidea spp.","Unidentified hermit crab","2",1
"Turf Island 2","Patiria miniata","Bat star","2",32
"Turf Island 2","Pholis laeta","Crescent gunnel","2",1
"Turf Island 2","Pisaster ochraceus","Purple sea star","2",14
"Turf Island 2","Pomaulax gibberosus","Red turban snail","2",477
"Turf Island 2","Pugettia producta","Northern kelp crab","2",8
"Turf Island 2","Rhacochilus vacca","Pile perch","1",12
"Turf Island 2","Rhinogobiops nicholsii","Blackeye goby","2",2
"Turf Island 2","Scyra acutifrons","Sharpnose crab","2",2
"Turf Island 2","Sebastes caurinus","Copper rockfish","1",1
"Turf Island 2","Stylasterias forreri","Velcro seastar","2",3
"Turf Island 2","Tonicella spp.","Unidentified chiton","2",9
"Tzartus 116","Acmaea mitra","Whitecap limpet","2",1
"Tzartus 116","Apostichopus californicus","California sea cucumber","2",1
"Tzartus 116","Brachyistius frenatus","Kelp perch","1",22
"Tzartus 116","Cymatogaster aggregata","Shiner perch","1",67
"Tzartus 116","Dermasterias imbricata","Leather star","2",15
"Tzartus 116","Embiotoca lateralis","Striped seaperch","1",9
"Tzartus 116","Evasterias troschelii","Mottled starfish","2",2
"Tzartus 116","Hexagrammos decagrammus","Kelp greenling","1",7
"Tzartus 116","Hexagrammos decagrammus","Kelp greenling","2",3
"Tzartus 116","Orthasterias koehleri","Rainbow star","2",6
"Tzartus 116","Paguroidea spp.","Unidentified hermit crab","2",3
"Tzartus 116","Patiria miniata","Bat star","2",2
"Tzartus 116","Pisaster ochraceus","Purple sea star","2",2
"Tzartus 116","Pomaulax gibberosus","Red turban snail","2",270
"Tzartus 116","Rhacochilus vacca","Pile perch","1",21
"Tzartus 116","Rhinogobiops nicholsii","Blackeye goby","1",39
"Tzartus 116","Rhinogobiops nicholsii","Blackeye goby","2",163
"Tzartus 116","Sebastes spp.","Unidentified rockfish","1",3
"Tzartus 116","Stylasterias forreri","Velcro seastar","2",1
"Tzartus 116","Tonicella spp.","Unidentified chiton","2",2
"Wizard Islet South","Acmaea mitra","Whitecap limpet","2",1
"Wizard Islet South","Apostichopus californicus","California sea cucumber","2",7
"Wizard Islet South","Artedius harringtoni","Scalyhead sculpin","2",5
"Wizard Islet South","Artedius lateralis","Smoothhead sculpin","2",2
"Wizard Islet South","Aulorhynchus flavidus","Tube-snout","1",10
"Wizard Islet South","Brachyistius frenatus","Kelp perch","1",7
"Wizard Islet South","Cancer productus","Red rock crab","2",2
"Wizard Islet South","Ceratostoma foliatum","Leafy hornmouth","2",23
"Wizard Islet South","Clupea pallasii","Pacific Herring","1",450
"Wizard Islet South","Crassadoma gigantea","Purple-hinged rock scallop","2",1
"Wizard Islet South","Cymatogaster aggregata","Shiner perch","1",13
"Wizard Islet South","Dermasterias imbricata","Leather star","2",24
"Wizard Islet South","Diodora aspera","Rough keyhole limpet","2",2
"Wizard Islet South","Embiotoca lateralis","Striped seaperch","1",4
"Wizard Islet South","Evasterias troschelii","Mottled starfish","2",1
"Wizard Islet South","Haliotis kamtschatkana","Pinto abalone","2",34
"Wizard Islet South","Henricia pumila","Dwarf mottled henricia","2",1
"Wizard Islet South","Hexagrammos decagrammus","Kelp greenling","1",14
"Wizard Islet South","Hexagrammos decagrammus","Kelp greenling","2",1
"Wizard Islet South","Jordania zonope","Longfin sculpin","2",2
"Wizard Islet South","Mesocentrotus franciscanus","Red sea urchin","2",206
"Wizard Islet South","Orthasterias koehleri","Rainbow star","2",24
"Wizard Islet South","Paguroidea spp.","Unidentified hermit crab","2",9
"Wizard Islet South","Patiria miniata","Bat star","2",1
"Wizard Islet South","Pisaster ochraceus","Purple sea star","2",18
"Wizard Islet South","Pomaulax gibberosus","Red turban snail","2",215
"Wizard Islet South","Pugettia producta","Northern kelp crab","2",2
"Wizard Islet South","Rhacochilus vacca","Pile perch","1",20
"Wizard Islet South","Rhinogobiops nicholsii","Blackeye goby","1",7
"Wizard Islet South","Rhinogobiops nicholsii","Blackeye goby","2",33
"Wizard Islet South","Sebastes caurinus","Copper rockfish","1",20
"Wizard Islet South","Sebastes flavidus","Yellowtail rockfish","1",4
"Wizard Islet South","Sebastes melanops","Black rockfish","1",12
"Wizard Islet South","Sebastes spp.","Unidentified rockfish","1",107
"Wizard Islet South","Strongylocentrotus droebachiensis","Northern sea urchin","2",1
"Wizard Islet South","Stylasterias forreri","Velcro seastar","2",3
"Wizard Islet South","Tonicella spp.","Unidentified chiton","2",1
